Timestamp,What type of degree are you currently pursuing?,What faculty is your program in? (Pick the option that closest resembles your program if the actual faculty is not listed),What is your current age?,What is your current GPA percentage?,What is your status as a student?,Have you used ChatGPT yet?,Do you think the availability of ChatGPT will negatively impact newer generations?,Do you think ChatGPT can be used as a reliable source of information?,In which situations should students be allowed to use ChatGPT?,Would using ChatGPT be considered as plagiarism?,Do you think using ChatGPT will increase your academic performance (if the use of ChatGPT is allowed)?,,,,,,,Do you think ChatGPT has any ethical concerns or biases?,,,What is your ethic group?
3/16/2023 13:43:54,Bachelors,Faculty of Law,17-23,90% - 100%,Full-time,No - I have not used ChatGPT,Neutral,No - it can't be used as a reliable source of information,"Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments)",No - The use of ChatGPT is not considered plagiarism,Neutral - ChatGPT will not affect my academic performance,,,,,,,,,,
3/16/2023 13:43:57,Bachelors,Faculty of Engineering,17-23,80% - 89%,Full-time,No - I have not used ChatGPT,Neutral,Yes - it can be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments), Completing Homework/Assignments assigned by the University",Neutral - It depends on what the user used ChatGPT for,Yes - ChatGPT will increase my academic performance,,,,,,,,,,
3/16/2023 13:44:23,Bachelors,Faculty of Arts,17-23,80% - 89%,Full-time,No - I have not used ChatGPT,Agree,No - it can't be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments)",Neutral - It depends on what the user used ChatGPT for,Neutral - ChatGPT will not affect my academic performance,,,,,,,,,,
3/16/2023 13:44:26,Bachelors,Faculty of Arts,17-23,80% - 89%,Full-time,Yes - I have used ChatGPT,Neutral,Yes - it can be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments), Completing Homework/Assignments assigned by the University",Neutral - It depends on what the user used ChatGPT for,Yes - ChatGPT will increase my academic performance,,,,,,,,,,
3/16/2023 13:44:30,Bachelors,Faculty of Arts,17-23,80% - 89%,Full-time,No - I have not used ChatGPT,Agree,Yes - it can be used as a reliable source of information,Self Learning (learning material taught by the University),Neutral - It depends on what the user used ChatGPT for,Neutral - ChatGPT will not affect my academic performance,,,,,,,,,,
3/16/2023 13:44:32,Bachelors,Faculty of Engineering,17-23,50% - 59%,Full-time,No - I have not used ChatGPT,Neutral,Yes - it can be used as a reliable source of information,Self Learning (learning material taught by the University),Neutral - It depends on what the user used ChatGPT for,Neutral - ChatGPT will not affect my academic performance,,,,,,,,,,
3/16/2023 13:45:20,Bachelors,Faculty of Arts,17-23,90% - 100%,Full-time,Yes - I have used ChatGPT,Neutral,Yes - it can be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments), Completing Homework/Assignments assigned by the University",Neutral - It depends on what the user used ChatGPT for,Yes - ChatGPT will increase my academic performance,,,,,,,,,,
3/16/2023 13:45:32,Bachelors,Faculty of Arts,17-23,80% - 89%,Full-time,No - I have not used ChatGPT,Agree,No - it can't be used as a reliable source of information,"Students, in under any circumstance, should not be allowed to use ChatGPT in academia",Neutral - It depends on what the user used ChatGPT for,No - ChatGPT will not increase my academic performance,,,,,,,,,,
3/16/2023 13:46:06,Bachelors,Faculty of Science,17-23,80% - 89%,Full-time,Yes - I have used ChatGPT,Agree,Yes - it can be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments), Completing Homework/Assignments assigned by the University",Neutral - It depends on what the user used ChatGPT for,Yes - ChatGPT will increase my academic performance,,,,,,,,,,
3/16/2023 13:46:20,Bachelors,Faculty of Business Studies,17-23,70% - 79%,Full-time,No - I have not used ChatGPT,Strongly Disagree,Yes - it can be used as a reliable source of information,Completing Homework/Assignments assigned by the University,No - The use of ChatGPT is not considered plagiarism,Yes - ChatGPT will increase my academic performance,,,,,,,,,,
3/16/2023 13:46:51,Bachelors,Faculty of Business Studies,17-23,90% - 100%,Full-time,No - I have not used ChatGPT,Neutral,No - it can't be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments), Completing Homework/Assignments assigned by the University, Students, in under any circumstance, should not be allowed to use ChatGPT in academia",Yes - The use of ChatGPT is considered as plagiarism,No - ChatGPT will not increase my academic performance,,,,,,,,,,
3/16/2023 13:47:21,Bachelors,Faculty of Health Sciences,17-23,80% - 89%,Full-time,No - I have not used ChatGPT,Agree,No - it can't be used as a reliable source of information,Self Learning (learning material taught by the University),Neutral - It depends on what the user used ChatGPT for,Neutral - ChatGPT will not affect my academic performance,,,,,,,,,,
3/16/2023 13:47:22,Bachelors,Faculty of Health Sciences,17-23,80% - 89%,Full-time,No - I have not used ChatGPT,Agree,No - it can't be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments)",Neutral - It depends on what the user used ChatGPT for,Neutral - ChatGPT will not affect my academic performance,,,,,,,,,,
3/16/2023 13:48:10,Bachelors,Faculty of Arts,17-23,80% - 89%,Full-time,Yes - I have used ChatGPT,Neutral,No - it can't be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments)",Neutral - It depends on what the user used ChatGPT for,Yes - ChatGPT will increase my academic performance,,,,,,,,,,
3/16/2023 13:48:20,Bachelors,Faculty of Engineering,17-23,70% - 79%,Full-time,No - I have not used ChatGPT,Neutral,No - it can't be used as a reliable source of information,Self Learning (learning material taught by the University),Neutral - It depends on what the user used ChatGPT for,Neutral - ChatGPT will not affect my academic performance,,,,,,,,,,
3/16/2023 13:48:34,Bachelors,Faculty of Engineering,17-23,70% - 79%,Full-time,No - I have not used ChatGPT,Agree,Yes - it can be used as a reliable source of information,Self Learning (learning material taught by the University),Yes - The use of ChatGPT is considered as plagiarism,Yes - ChatGPT will increase my academic performance,,,,,,,,,,
3/16/2023 13:48:38,Bachelors,Faculty of Arts,17-23,70% - 79%,Full-time,Yes - I have used ChatGPT,Strongly Agree,No - it can't be used as a reliable source of information,Self Learning (learning material taught by the University),Neutral - It depends on what the user used ChatGPT for,No - ChatGPT will not increase my academic performance,,,,,,,,,,
3/16/2023 13:48:45,Bachelors,Faculty of Engineering,17-23,70% - 79%,Full-time,No - I have not used ChatGPT,Neutral,Yes - it can be used as a reliable source of information,Self Learning (learning material taught by the University),Neutral - It depends on what the user used ChatGPT for,Neutral - ChatGPT will not affect my academic performance,,,,,,,,,,
3/16/2023 13:48:55,Bachelors,Faculty of Science,17-23,60% - 69%,Full-time,Yes - I have used ChatGPT,Neutral,Yes - it can be used as a reliable source of information,Self Learning (learning material taught by the University),Neutral - It depends on what the user used ChatGPT for,Yes - ChatGPT will increase my academic performance,,,,,,,,,,
3/16/2023 13:49:23,Bachelors,Faculty of Science,17-23,60% - 69%,Full-time,Yes - I have used ChatGPT,Neutral,Yes - it can be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments), Completing Homework/Assignments assigned by the University",Neutral - It depends on what the user used ChatGPT for,Neutral - ChatGPT will not affect my academic performance,,,,,,,,,,
3/16/2023 21:51:05,Bachelors,Faculty of Science,17-23,70% - 79%,Full-time,Yes - I have used ChatGPT,Strongly Agree,Yes - it can be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments), Completing Homework/Assignments assigned by the University, Students, in under any circumstance, should not be allowed to use ChatGPT in academia",No - The use of ChatGPT is not considered plagiarism,Yes - ChatGPT will increase my academic performance,,,,,,,,,,
3/16/2023 22:54:58,Bachelors,Faculty of Business Studies,17-23,80% - 89%,Full-time,Yes - I have used ChatGPT,Agree,Yes - it can be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments)",Neutral - It depends on what the user used ChatGPT for,Yes - ChatGPT will increase my academic performance,,,,,,,,,,
3/17/2023 8:58:43,Bachelors,Faculty of Engineering,17-23,70% - 79%,Full-time,Yes - I have used ChatGPT,Neutral,Yes - it can be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments)",Neutral - It depends on what the user used ChatGPT for,Yes - ChatGPT will increase my academic performance,,,,,,,,,,
3/17/2023 12:11:17,Bachelors,Faculty of Science,24-30,90% - 100%,Full-time,Yes - I have used ChatGPT,Disagree,Yes - it can be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments), Completing Homework/Assignments assigned by the University",Neutral - It depends on what the user used ChatGPT for,Yes - ChatGPT will increase my academic performance,,,,,,,,,,
3/17/2023 12:11:44,Bachelors,Faculty of Science,17-23,70% - 79%,Full-time,Yes - I have used ChatGPT,Agree,Yes - it can be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments), Completing Homework/Assignments assigned by the University",Neutral - It depends on what the user used ChatGPT for,Neutral - ChatGPT will not affect my academic performance,,,,,,,,,,
3/17/2023 12:11:48,Bachelors,Faculty of Science,17-23,70% - 79%,Full-time,No - I have not used ChatGPT,Neutral,Yes - it can be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments), Completing Homework/Assignments assigned by the University",Neutral - It depends on what the user used ChatGPT for,Neutral - ChatGPT will not affect my academic performance,,,,,,,,,,
